c_id,x_px,y_px,frame
3,306.2200927734375,954.7655639648438,3
4,845.6357421875,868.1599731445312,3
7,843.429931640625,798.507080078125,3
9,769.591552734375,770.7299194335938,3
10,804.7967529296875,739.0594482421875,3
12,712.50048828125,714.2123413085938,3
15,792.835693359375,636.7708740234375,3
18,781.861572265625,626.5310668945312,3
19,598.6455078125,603.520263671875,3
20,580.507080078125,587.6569213867188,3
21,724.7913208007812,584.4612426757812,3
22,772.6222534179688,540.5123291015625,3
23,559.3550415039062,536.7188110351562,3
25,655.8900756835938,522.218505859375,3
26,742.463134765625,502.010498046875,3
27,609.3400268554688,456.6348571777344,3
31,697.0463256835938,384.9588928222656,3
32,518.256103515625,357.43121337890625,3
33,274.4169921875,343.3937072753906,3
36,696.087646484375,314.1092834472656,3
38,454.2862243652344,286.0066223144531,3
39,667.7752685546875,261.2674255371094,3
40,579.5044555664062,260.91619873046875,3
41,538.303955078125,261.5250244140625,3
42,356.9583435058594,258.6031494140625,3
43,507.9693908691406,247.24581909179688,3
44,393.7021179199219,244.70269775390625,3
45,485.29888916015625,225.1249237060547,3
46,521.8934326171875,221.3385467529297,3
47,581.08203125,221.810546875,3
49,505.27191162109375,213.56332397460938,3
62,473.2565002441406,1019.0182495117188,3
66,321.9875793457031,957.9571533203125,3
68,654.5267944335938,932.7462768554688,3
104,652.7574462890625,670.6388549804688,3
140,742.8560791015625,271.21533203125,3
